Loaded 720 existing results.
Deney Başlıyor...
Toplam Kombinasyon: 4320
Ortam hazırlanıyor...
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=1mbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=1mbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=1mbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=1mbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=1, BW=0, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=50kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=100kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=250kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=1mbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=10, BW=0, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=50kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=100kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=250kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=1mbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=16, Rate=100, BW=0, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=10%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=10%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=10%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=50kbit, Loss=10%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=0%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=0%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=0%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=0%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=1%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=1%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=1%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=1%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=5%, Delay=0ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=5%, Delay=20ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=5%, Delay=100ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=5%, Delay=500ms
Skipping (Already done): Proto=mqtt, Size=128, Rate=1, BW=100kbit, Loss=10%, Delay=0ms
